181 epoch, LR 0.000004, LOSS 0.792325, ACC 85.62%, EER 0.99%, bestEER 0.93%
182 epoch, LR 0.000004, LOSS 0.793132, ACC 85.60%, EER 0.96%, bestEER 0.93%
183 epoch, LR 0.000004, LOSS 0.793042, ACC 85.58%, EER 0.96%, bestEER 0.93%
184 epoch, LR 0.000004, LOSS 0.791923, ACC 85.59%, EER 0.99%, bestEER 0.93%
185 epoch, LR 0.000004, LOSS 0.793203, ACC 85.58%, EER 0.99%, bestEER 0.93%
186 epoch, LR 0.000004, LOSS 0.792442, ACC 85.57%, EER 0.98%, bestEER 0.93%
187 epoch, LR 0.000003, LOSS 0.792507, ACC 85.60%, EER 0.98%, bestEER 0.93%
188 epoch, LR 0.000003, LOSS 0.792536, ACC 85.57%, EER 0.96%, bestEER 0.93%
189 epoch, LR 0.000003, LOSS 0.792385, ACC 85.59%, EER 0.96%, bestEER 0.93%
190 epoch, LR 0.000003, LOSS 0.792920, ACC 85.56%, EER 0.94%, bestEER 0.93%
191 epoch, LR 0.000003, LOSS 0.792741, ACC 85.58%, EER 0.95%, bestEER 0.93%
192 epoch, LR 0.000003, LOSS 0.790769, ACC 85.61%, EER 0.95%, bestEER 0.93%
193 epoch, LR 0.000003, LOSS 0.791398, ACC 85.62%, EER 0.96%, bestEER 0.93%
194 epoch, LR 0.000003, LOSS 0.793588, ACC 85.57%, EER 0.94%, bestEER 0.93%
195 epoch, LR 0.000003, LOSS 0.791051, ACC 85.60%, EER 0.97%, bestEER 0.93%
196 epoch, LR 0.000003, LOSS 0.791177, ACC 85.62%, EER 0.96%, bestEER 0.93%
197 epoch, LR 0.000003, LOSS 0.791020, ACC 85.63%, EER 0.96%, bestEER 0.93%
198 epoch, LR 0.000002, LOSS 0.789943, ACC 85.65%, EER 0.96%, bestEER 0.93%
199 epoch, LR 0.000002, LOSS 0.791686, ACC 85.61%, EER 0.97%, bestEER 0.93%
200 epoch, LR 0.000002, LOSS 0.789028, ACC 85.64%, EER 0.99%, bestEER 0.93%
201 epoch, LR 0.000002, LOSS 0.790953, ACC 85.61%, EER 0.98%, bestEER 0.93%
202 epoch, LR 0.000002, LOSS 0.791109, ACC 85.61%, EER 0.97%, bestEER 0.93%
203 epoch, LR 0.000002, LOSS 0.789657, ACC 85.62%, EER 0.97%, bestEER 0.93%
204 epoch, LR 0.000002, LOSS 0.792361, ACC 85.62%, EER 0.99%, bestEER 0.93%
205 epoch, LR 0.000002, LOSS 0.789963, ACC 85.66%, EER 0.99%, bestEER 0.93%
206 epoch, LR 0.000002, LOSS 0.791988, ACC 85.57%, EER 1.00%, bestEER 0.93%
207 epoch, LR 0.000002, LOSS 0.789809, ACC 85.65%, EER 0.97%, bestEER 0.93%
208 epoch, LR 0.000002, LOSS 0.790909, ACC 85.60%, EER 0.97%, bestEER 0.93%
209 epoch, LR 0.000002, LOSS 0.789108, ACC 85.65%, EER 0.97%, bestEER 0.93%
210 epoch, LR 0.000002, LOSS 0.789192, ACC 85.64%, EER 0.99%, bestEER 0.93%
211 epoch, LR 0.000002, LOSS 0.790368, ACC 85.64%, EER 0.97%, bestEER 0.93%
212 epoch, LR 0.000002, LOSS 0.790929, ACC 85.65%, EER 1.02%, bestEER 0.93%
213 epoch, LR 0.000002, LOSS 0.789871, ACC 85.66%, EER 0.97%, bestEER 0.93%
214 epoch, LR 0.000002, LOSS 0.789378, ACC 85.64%, EER 0.98%, bestEER 0.93%
215 epoch, LR 0.000001, LOSS 0.788992, ACC 85.66%, EER 0.99%, bestEER 0.93%
216 epoch, LR 0.000001, LOSS 0.790289, ACC 85.66%, EER 0.97%, bestEER 0.93%
217 epoch, LR 0.000001, LOSS 0.788016, ACC 85.66%, EER 0.97%, bestEER 0.93%
218 epoch, LR 0.000001, LOSS 0.790250, ACC 85.63%, EER 0.97%, bestEER 0.93%
219 epoch, LR 0.000001, LOSS 0.791828, ACC 85.63%, EER 0.96%, bestEER 0.93%
220 epoch, LR 0.000001, LOSS 0.790823, ACC 85.63%, EER 0.98%, bestEER 0.93%
221 epoch, LR 0.000001, LOSS 0.791886, ACC 85.60%, EER 0.95%, bestEER 0.93%
222 epoch, LR 0.000001, LOSS 0.789190, ACC 85.67%, EER 0.96%, bestEER 0.93%
223 epoch, LR 0.000001, LOSS 0.788855, ACC 85.66%, EER 0.99%, bestEER 0.93%
224 epoch, LR 0.000001, LOSS 0.793573, ACC 85.59%, EER 0.98%, bestEER 0.93%
225 epoch, LR 0.000001, LOSS 0.790110, ACC 85.62%, EER 0.97%, bestEER 0.93%
226 epoch, LR 0.000001, LOSS 0.790633, ACC 85.60%, EER 0.94%, bestEER 0.93%
227 epoch, LR 0.000001, LOSS 0.789520, ACC 85.62%, EER 0.95%, bestEER 0.93%
228 epoch, LR 0.000001, LOSS 0.792505, ACC 85.58%, EER 0.97%, bestEER 0.93%
229 epoch, LR 0.000001, LOSS 0.790581, ACC 85.62%, EER 0.96%, bestEER 0.93%
230 epoch, LR 0.000001, LOSS 0.790172, ACC 85.61%, EER 0.98%, bestEER 0.93%
231 epoch, LR 0.000001, LOSS 0.789319, ACC 85.64%, EER 0.95%, bestEER 0.93%
232 epoch, LR 0.000001, LOSS 0.790254, ACC 85.60%, EER 0.97%, bestEER 0.93%
233 epoch, LR 0.000001, LOSS 0.789395, ACC 85.62%, EER 0.95%, bestEER 0.93%
234 epoch, LR 0.000001, LOSS 0.791917, ACC 85.63%, EER 0.95%, bestEER 0.93%
235 epoch, LR 0.000001, LOSS 0.790010, ACC 85.62%, EER 0.99%, bestEER 0.93%
236 epoch, LR 0.000001, LOSS 0.790263, ACC 85.61%, EER 0.96%, bestEER 0.93%
237 epoch, LR 0.000001, LOSS 0.789380, ACC 85.64%, EER 0.95%, bestEER 0.93%
238 epoch, LR 0.000001, LOSS 0.788846, ACC 85.66%, EER 0.96%, bestEER 0.93%
239 epoch, LR 0.000001, LOSS 0.790072, ACC 85.62%, EER 0.97%, bestEER 0.93%
240 epoch, LR 0.000001, LOSS 0.791124, ACC 85.61%, EER 0.95%, bestEER 0.93%
241 epoch, LR 0.000001, LOSS 0.786471, ACC 85.73%, EER 0.98%, bestEER 0.93%
242 epoch, LR 0.000001, LOSS 0.788445, ACC 85.64%, EER 0.96%, bestEER 0.93%
243 epoch, LR 0.000001, LOSS 0.791202, ACC 85.64%, EER 0.98%, bestEER 0.93%
244 epoch, LR 0.000001, LOSS 0.789947, ACC 85.60%, EER 0.97%, bestEER 0.93%
245 epoch, LR 0.000001, LOSS 0.791798, ACC 85.64%, EER 0.98%, bestEER 0.93%
246 epoch, LR 0.000001, LOSS 0.790522, ACC 85.60%, EER 1.00%, bestEER 0.93%
247 epoch, LR 0.000001, LOSS 0.790382, ACC 85.61%, EER 0.97%, bestEER 0.93%
248 epoch, LR 0.000001, LOSS 0.788802, ACC 85.66%, EER 0.97%, bestEER 0.93%
249 epoch, LR 0.000001, LOSS 0.787314, ACC 85.71%, EER 0.97%, bestEER 0.93%
250 epoch, LR 0.000001, LOSS 0.789099, ACC 85.64%, EER 0.96%, bestEER 0.93%
251 epoch, LR 0.000000, LOSS 0.791386, ACC 85.61%, EER 0.96%, bestEER 0.93%
252 epoch, LR 0.000000, LOSS 0.787608, ACC 85.68%, EER 0.97%, bestEER 0.93%
253 epoch, LR 0.000000, LOSS 0.789396, ACC 85.60%, EER 0.96%, bestEER 0.93%
254 epoch, LR 0.000000, LOSS 0.790662, ACC 85.62%, EER 0.97%, bestEER 0.93%
255 epoch, LR 0.000000, LOSS 0.790591, ACC 85.64%, EER 0.96%, bestEER 0.93%
256 epoch, LR 0.000000, LOSS 0.786397, ACC 85.71%, EER 0.98%, bestEER 0.93%
257 epoch, LR 0.000000, LOSS 0.786638, ACC 85.68%, EER 0.96%, bestEER 0.93%
258 epoch, LR 0.000000, LOSS 0.788737, ACC 85.65%, EER 0.99%, bestEER 0.93%
259 epoch, LR 0.000000, LOSS 0.790861, ACC 85.66%, EER 0.95%, bestEER 0.93%
260 epoch, LR 0.000000, LOSS 0.790287, ACC 85.64%, EER 0.98%, bestEER 0.93%
261 epoch, LR 0.000000, LOSS 0.790765, ACC 85.67%, EER 0.98%, bestEER 0.93%
262 epoch, LR 0.000000, LOSS 0.788581, ACC 85.66%, EER 0.96%, bestEER 0.93%
263 epoch, LR 0.000000, LOSS 0.789390, ACC 85.61%, EER 0.96%, bestEER 0.93%
264 epoch, LR 0.000000, LOSS 0.788087, ACC 85.65%, EER 0.96%, bestEER 0.93%
265 epoch, LR 0.000000, LOSS 0.787141, ACC 85.69%, EER 0.99%, bestEER 0.93%
266 epoch, LR 0.000000, LOSS 0.788056, ACC 85.68%, EER 0.97%, bestEER 0.93%
267 epoch, LR 0.000000, LOSS 0.789904, ACC 85.63%, EER 0.95%, bestEER 0.93%
268 epoch, LR 0.000000, LOSS 0.788077, ACC 85.68%, EER 0.97%, bestEER 0.93%
269 epoch, LR 0.000000, LOSS 0.788073, ACC 85.65%, EER 0.96%, bestEER 0.93%
270 epoch, LR 0.000000, LOSS 0.788561, ACC 85.64%, EER 0.95%, bestEER 0.93%
271 epoch, LR 0.000000, LOSS 0.784343, ACC 85.71%, EER 0.96%, bestEER 0.93%
272 epoch, LR 0.000000, LOSS 0.787605, ACC 85.66%, EER 0.98%, bestEER 0.93%
273 epoch, LR 0.000000, LOSS 0.786215, ACC 85.69%, EER 0.97%, bestEER 0.93%
274 epoch, LR 0.000000, LOSS 0.788096, ACC 85.63%, EER 0.97%, bestEER 0.93%
